ID,Unvocalized,Vocalized,Root,Normalized,Triliteral,Past,Future,Imperative,Passive,Madhi,Mudhari,Amar,Madhi_from_Vocalized,Mudhari_from_Vocalized,Amar_from_Vocalized
1,أمكن,أمْكَنَ,مكن,ءمكن,0,0,0,0,0,مكن,يمكن,امكن,أمْكَنَ,يمكن,امكن
2,استحال,اِسْتَحَالَ,حيل,استحال,0,0,0,0,0,حال,يحال,احال,اِسْتَحَالَ,يحال,احال
3,زها,زَهَا,زهو,زها,1,0,0,0,1,زها,يزها,ازها,زَهَا,يزها,ازها
4,بئس,بِئْسَ,بأس,بءس,1,0,0,0,0,بئس,يبئس,ابئس,بِئْسَ,يبئس,ابئس
5,أغمى,أَغْمَى,غمي,ءغمى,0,0,0,0,1,غمى,يغمى,اغمى,أَغْمَى,يغمى,اغمى
6,سقط,سَقَطَ,سقط,سقط,1,0,0,0,1,سقط,يسقط,اسقط,سَقَطَ,يسقط,اسقط
7,نعم,نِعْمَ,نعم,نعم,1,0,0,0,0,نعم,ينعم,انعم,نِعْمَ,ينعم,انعم
8,وهب,وَهَبَ,وهب،هيب,وهب,1,0,0,0,0,وهب,يوهب,اوهب,وَهَبَ,يوهب,اوهب
9,انبغى,اِنْبَغَى,بغي,انبغى,0,0,0,0,0,بغى,يبغى,ابغى,اِنْبَغَى,يبغى,ابغى
10,برح,بَرِحَ,برح,برح,1,1,1,0,0,برح,يبرح,ابرح,بَرِحَ,يبرح,ابرح
11,انفك,اِنْفَكَّ,فكك,انفك,0,1,1,0,0,نفك,ينفك,انفك,اِنْفَكَّ,ينفك,انفك
12,تعالى,تَعَالَى,علو,تعالى,0,0,0,1,0,الى,يالى,االى,تَعَالَى,يالى,االى
13,فتئ,فَتِئَ,فتأ,فتء,1,1,1,0,0,فتئ,يفتئ,افتئ,فَتِئَ,يفتئ,افتئ
14,ودع,وَدَعَ,ودع,ودع,1,0,1,1,0,ودع,يودع,اودع,وَدَعَ,يودع,اودع
15,وذر,وَذَرَ,ودع,وذر,1,0,1,1,0,وذر,يوذر,اوذر,وَذَرَ,يوذر,اوذر
16,أوشك,أَوْشَكَ,وشك,ءوشك,0,1,1,0,0,وشك,يوشك,اوشك,أَوْشَكَ,يوشك,اوشك
17,رام,رَامَ,روم,رام,1,1,1,0,0,رام,يرام,ارام,رَامَ,يرام,ارام
18,زال,زَالَ,زيل,زال,1,1,1,0,0,زال,يزال,ازال,زَالَ,يزال,ازال
19,كاد,كَادَ,كود,كاد,1,1,1,0,0,كاد,يكاد,اكاد,كَادَ,يكاد,اكاد
20,ليس,لَيْسَ,ليس,ليس,1,1,0,0,0,ليس,يليس,اليس,لَيْسَ,يليس,اليس
21,عيا,عَيَّا,عيي,عيا,0,1,1,1,0,عيا,يعيا,اعيا,عَيَّا,يعيا,اعيا
22,زيا,زَيَّا,زيي,زيا,0,0,0,0,0,زيا,يزيا,ازيا,زَيَّا,يزيا,ازيا
23,حيا,حَيَّا,حيي,حيا,0,0,0,0,0,حيا,يحيا,احيا,حَيَّا,يحيا,احيا
24,تحتم,تَحَتَّمَ,حتم,تحتم,0,0,0,0,0,حتم,يحتم,احتم,تَحَتَّمَ,يحتم,احتم
25,أحيا,أَحْيَا,حيي,ءحيا,0,0,0,0,0,حيا,يحيا,احيا,أَحْيَا,يحيا,احيا
26,أعيا,أَعْيَا,عيي,ءعيا,0,0,0,0,0,عيا,يعيا,اعيا,أَعْيَا,يعيا,اعيا
27,تحيا,تَحَيَّا,حيي,تحيا,0,1,1,1,0,حيا,يحيا,احيا,تَحَيَّا,يحيا,احيا
28,تزيا,تَزَيَّا,زيي,تزيا,0,1,1,1,0,زيا,يزيا,ازيا,تَزَيَّا,يزيا,ازيا
29,استعيا,اِسْتَعْيَا,عيي,استعيا,0,0,0,0,0,عيا,يعيا,اعيا,اِسْتَعْيَا,يعيا,اعيا
30,استحيا,اِسْتَحْيَا,حيي,استحيا,0,0,0,0,0,حيا,يحيا,احيا,اِسْتَحْيَا,يحيا,احيا
31,عسى,عَسَى,عسي,عسى,1,1,0,0,0,عسى,يعسى,اعسى,عَسَى,يعسى,اعسى
32,حيي,حَيِيَ,حيي,حيي,1,1,1,1,0,حيي,يحيي,احيي,حَيِيَ,يحيي,احيي
33,عيي,عَيِيَ,عيي,عيي,1,0,0,0,0,عيي,يعيي,اعيي,عَيِيَ,يعيي,اعيي
34,آوى,آوَى,أوي,ءاوى,0,0,0,0,0,آوى,يآوى,اآوى,آوَى,يآوى,اآوى
35,حلك,حَلَكَ,حلك,حلك,1,1,1,1,0,حلك,يحلك,احلك,حَلَكَ,يحلك,احلك
36,بخر,بَخِرَ,بخر,بخر,1,1,1,1,0,بخر,يبخر,ابخر,بَخِرَ,يبخر,ابخر
37,حبس,حَبَسَ,حبس,حبس,1,0,0,0,0,حبس,يحبس,احبس,حَبَسَ,يحبس,احبس
38,تلد,تَلِدَ,تلد,تلد,1,1,1,1,0,تلد,يتلد,اتلد,تَلِدَ,يتلد,اتلد
39,حصد,حَصِدَ,حصد,حصد,1,1,1,1,0,حصد,يحصد,احصد,حَصِدَ,يحصد,احصد
40,خبر,خَبِرَ,خبر,خبر,1,0,0,0,0,خبر,يخبر,اخبر,خَبِرَ,يخبر,اخبر
41,نجع,نَجَعَ,نجع,نجع,1,0,0,0,0,نجع,ينجع,انجع,نَجَعَ,ينجع,انجع
42,حلف,حَلَفَ,حلف,حلف,1,0,0,0,0,حلف,يحلف,احلف,حَلَفَ,يحلف,احلف
43,عصم,عَصَمَ,عصم,عصم,1,0,0,0,0,عصم,يعصم,اعصم,عَصَمَ,يعصم,اعصم
44,كسل,كَسِلَ,كسل,كسل,1,1,1,1,0,كسل,يكسل,اكسل,كَسِلَ,يكسل,اكسل
45,هشم,هَشَمَ,هشم,هشم,1,0,0,0,0,هشم,يهشم,اهشم,هَشَمَ,يهشم,اهشم
46,بهج,بَهِجَ,بهج,بهج,1,1,1,1,0,بهج,يبهج,ابهج,بَهِجَ,يبهج,ابهج
47,كسح,كَسِحَ,كسح,كسح,1,1,1,1,0,كسح,يكسح,اكسح,كَسِحَ,يكسح,اكسح
48,بله,بَلِهَ,بله,بله,1,1,1,1,0,بله,يبله,ابله,بَلِهَ,يبله,ابله
49,كثم,كَثَمَ,كثم,كثم,1,0,0,0,0,كثم,يكثم,اكثم,كَثَمَ,يكثم,اكثم
50,حقد,حَقِدَ,حقد,حقد,1,1,1,1,0,حقد,يحقد,احقد,حَقِدَ,يحقد,احقد
51,حكر,حَكِرَ,حكر,حكر,1,0,0,0,0,حكر,يحكر,احكر,حَكِرَ,يحكر,احكر
52,محك,مَحِكَ,محك,محك,1,1,1,1,0,محك,يمحك,امحك,مَحِكَ,يمحك,امحك
53,فرش,فَرَشَ,فرش,فرش,1,1,1,1,0,فرش,يفرش,افرش,فَرَشَ,يفرش,افرش
54,حفن,حَفَنَ,حفن,حفن,1,0,0,0,0,حفن,يحفن,احفن,حَفَنَ,يحفن,احفن
55,خبص,خَبَصَ,خبص,خبص,1,0,0,0,0,خبص,يخبص,اخبص,خَبَصَ,يخبص,اخبص
56,طرب,طَرِبَ,طرب,طرب,1,1,1,1,0,طرب,يطرب,اطرب,طَرِبَ,يطرب,اطرب
57,خرع,خَرَعَ,خرع,خرع,1,0,0,0,0,خرع,يخرع,اخرع,خَرَعَ,يخرع,اخرع
58,ختن,خَتَنَ,ختن,ختن,1,0,0,0,0,ختن,يختن,اختن,خَتَنَ,يختن,اختن
59,فهم,فَهِمَ,فهم,فهم,1,0,0,0,0,فهم,يفهم,افهم,فَهِمَ,يفهم,افهم
60,نكب,نَكِبَ,نكب,نكب,1,1,1,1,0,نكب,ينكب,انكب,نَكِبَ,ينكب,انكب
61,خدش,خَدَشَ,خدش,خدش,1,0,0,0,0,خدش,يخدش,اخدش,خَدَشَ,يخدش,اخدش
62,حمق,حَمِقَ,حمق,حمق,1,1,1,1,0,حمق,يحمق,احمق,حَمِقَ,يحمق,احمق
63,جدع,جَدِعَ,جدع,جدع,1,1,1,1,0,جدع,يجدع,اجدع,جَدِعَ,يجدع,اجدع
64,رهص,رَهَصَ,رهص,رهص,1,0,0,0,0,رهص,يرهص,ارهص,رَهَصَ,يرهص,ارهص
65,خجل,خَجِلَ,خجل,خجل,1,1,1,1,0,خجل,يخجل,اخجل,خَجِلَ,يخجل,اخجل
66,خدر,خَدِرَ,خدر,خدر,1,1,1,1,0,خدر,يخدر,اخدر,خَدِرَ,يخدر,اخدر
67,عقل,عَقَلَ,عقل,عقل,1,0,0,0,0,عقل,يعقل,اعقل,عَقَلَ,يعقل,اعقل
68,حشك,حَشَكَ,حشك,حشك,1,0,0,0,0,حشك,يحشك,احشك,حَشَكَ,يحشك,احشك
69,حفز,حَفَزَ,حفز,حفز,1,0,0,0,0,حفز,يحفز,احفز,حَفَزَ,يحفز,احفز
70,حفص,حَفَصَ,حفص,حفص,1,0,0,0,0,حفص,يحفص,احفص,حَفَصَ,يحفص,احفص
71,دسع,دَسَعَ,دسع,دسع,1,0,0,0,0,دسع,يدسع,ادسع,دَسَعَ,يدسع,ادسع
72,حشم,حَشَمَ,حشم,حشم,1,1,1,1,0,حشم,يحشم,احشم,حَشَمَ,يحشم,احشم
73,مهن,مَهَنَ,مهن,مهن,1,0,0,0,0,مهن,يمهن,امهن,مَهَنَ,يمهن,امهن
74,حفر,حَفَرَ,حفر,حفر,1,0,0,0,0,حفر,يحفر,احفر,حَفَرَ,يحفر,احفر
75,كسح,كَسَحَ,كسح,كسح,1,0,0,0,0,كسح,يكسح,اكسح,كَسَحَ,يكسح,اكسح
76,خمر,خَمِرَ,خمر,خمر,1,1,1,1,0,خمر,يخمر,اخمر,خَمِرَ,يخمر,اخمر
77,شبح,شَبَحَ,شبح,شبح,1,0,0,0,0,شبح,يشبح,اشبح,شَبَحَ,يشبح,اشبح
78,حطم,حَطَمَ,حطم,حطم,1,0,0,0,0,حطم,يحطم,احطم,حَطَمَ,يحطم,احطم
79,نزق,نَزِقَ,نزق,نزق,1,1,1,1,0,نزق,ينزق,انزق,نَزِقَ,ينزق,انزق
80,خبل,خَبِلَ,خبل,خبل,1,1,1,1,0,خبل,يخبل,اخبل,خَبِلَ,يخبل,اخبل
81,سلط,سَلِطَ,سلط,سلط,1,1,1,1,0,سلط,يسلط,اسلط,سَلِطَ,يسلط,اسلط
82,برم,بَرِمَ,برم,برم,1,1,1,1,0,برم,يبرم,ابرم,بَرِمَ,يبرم,ابرم
83,بصر,بَصِرَ,بصر,بصر,1,1,1,1,0,بصر,يبصر,ابصر,بَصِرَ,يبصر,ابصر
84,غفر,غَفَرَ,غفر,غفر,1,0,0,0,0,غفر,يغفر,اغفر,غَفَرَ,يغفر,اغفر
85,جرس,جَرَسَ,جرس,جرس,1,0,0,0,0,جرس,يجرس,اجرس,جَرَسَ,يجرس,اجرس
86,بسم,بَسَمَ,بسم,بسم,1,1,1,1,0,بسم,يبسم,ابسم,بَسَمَ,يبسم,ابسم
87,عرك,عَرِكَ,عرك,عرك,1,1,1,1,0,عرك,يعرك,اعرك,عَرِكَ,يعرك,اعرك
88,خلق,خَلِقَ,خلق,خلق,1,1,1,1,0,خلق,يخلق,اخلق,خَلِقَ,يخلق,اخلق
89,صلع,صَلِعَ,صلع,صلع,1,1,1,1,0,صلع,يصلع,اصلع,صَلِعَ,يصلع,اصلع
90,زهر,زَهَرَ,زهر,زهر,1,0,0,0,0,زهر,يزهر,ازهر,زَهَرَ,يزهر,ازهر
91,تفل,تَفَلَ,تفل,تفل,1,0,0,0,0,تفل,يتفل,اتفل,تَفَلَ,يتفل,اتفل
92,نكز,نَكِزَ,نكز,نكز,1,1,1,1,0,نكز,ينكز,انكز,نَكِزَ,ينكز,انكز
93,بطن,بَطِنَ,بطن,بطن,1,1,1,1,0,بطن,يبطن,ابطن,بَطِنَ,يبطن,ابطن
94,سكع,سَكَعَ,سكع,سكع,1,0,0,0,0,سكع,يسكع,اسكع,سَكَعَ,يسكع,اسكع
95,بطح,بَطَحَ,بطح,بطح,1,0,0,0,0,بطح,يبطح,ابطح,بَطَحَ,يبطح,ابطح
96,خنف,خَنَفَ,خنف,خنف,1,1,1,1,0,خنف,يخنف,اخنف,خَنَفَ,يخنف,اخنف
97,غدق,غَدَقَ,غدق,غدق,1,1,1,1,0,غدق,يغدق,اغدق,غَدَقَ,يغدق,اغدق
98,جزل,جَزَلَ,جزل,جزل,1,0,0,0,0,جزل,يجزل,اجزل,جَزَلَ,يجزل,اجزل
99,جلط,جَلَطَ,جلط,جلط,1,0,0,0,0,جلط,يجلط,اجلط,جَلَطَ,يجلط,اجلط
100,مسك,مَسَكَ,مسك,مسك,1,0,0,0,0,مسك,يمسك,امسك,مَسَكَ,يمسك,امسك
101,جرج,جَرِجَ,جرج,جرج,1,1,1,1,0,جرج,يجرج,اجرج,جَرِجَ,يجرج,اجرج
102,دلف,دَلَفَ,دلف,دلف,1,1,1,1,0,دلف,يدلف,ادلف,دَلَفَ,يدلف,ادلف
103,عجف,عَجِفَ,عجف,عجف,1,1,1,1,0,عجف,يعجف,اعجف,عَجِفَ,يعجف,اعجف
104,ملد,مَلِدَ,ملد,ملد,1,1,1,1,0,ملد,يملد,املد,مَلِدَ,يملد,املد
105,نهر,نَهِرَ,نهر,نهر,1,1,1,1,0,نهر,ينهر,انهر,نَهِرَ,ينهر,انهر
106,جرذ,جَرِذَ,جرذ,جرذ,1,1,1,1,0,جرذ,يجرذ,اجرذ,جَرِذَ,يجرذ,اجرذ
107,جرع,جَرَعَ,جرع,جرع,1,0,0,0,0,جرع,يجرع,اجرع,جَرَعَ,يجرع,اجرع
108,جرح,جَرَحَ,جرح,جرح,1,0,0,0,0,جرح,يجرح,اجرح,جَرَحَ,يجرح,اجرح
109,سعر,سَعَرَ,سعر,سعر,1,0,0,0,0,سعر,يسعر,اسعر,سَعَرَ,يسعر,اسعر
110,تفه,تَفِهَ,تفه,تفه,1,1,1,1,0,تفه,يتفه,اتفه,تَفِهَ,يتفه,اتفه
111,رسل,رَسِلَ,رسل,رسل,1,1,1,1,0,رسل,يرسل,ارسل,رَسِلَ,يرسل,ارسل
112,هدل,هَدِلَ,هدل,هدل,1,1,1,1,0,هدل,يهدل,اهدل,هَدِلَ,يهدل,اهدل
113,نزل,نَزِلَ,نزل,نزل,1,1,1,1,0,نزل,ينزل,انزل,نَزِلَ,ينزل,انزل
114,خضم,خَضِمَ,خضم,خضم,1,0,0,0,0,خضم,يخضم,اخضم,خَضِمَ,يخضم,اخضم
115,شبم,شَبِمَ,شبم,شبم,1,1,1,1,0,شبم,يشبم,اشبم,شَبِمَ,يشبم,اشبم
116,تلف,تَلِفَ,تلف,تلف,1,1,1,1,0,تلف,يتلف,اتلف,تَلِفَ,يتلف,اتلف
117,حطب,حَطِبَ,حطب,حطب,1,1,1,1,0,حطب,يحطب,احطب,حَطِبَ,يحطب,احطب
118,ترف,تَرِفَ,ترف,ترف,1,1,1,1,0,ترف,يترف,اترف,تَرِفَ,يترف,اترف
119,كحل,كَحِلَ,كحل,كحل,1,1,1,1,0,كحل,يكحل,اكحل,كَحِلَ,يكحل,اكحل
120,بقر,بَقَرَ,بقر,بقر,1,0,0,0,0,بقر,يبقر,ابقر,بَقَرَ,يبقر,ابقر
121,هدف,هَدَفَ,هدف,هدف,1,1,1,1,0,هدف,يهدف,اهدف,هَدَفَ,يهدف,اهدف
122,بعر,بَعَرَ,بعر,بعر,1,1,1,1,0,بعر,يبعر,ابعر,بَعَرَ,يبعر,ابعر
123,بغت,بَغَتَ,بغت,بغت,1,0,0,0,0,بغت,يبغت,ابغت,بَغَتَ,يبغت,ابغت
124,بخل,بَخِلَ,بخل,بخل,1,1,1,1,0,بخل,يبخل,ابخل,بَخِلَ,يبخل,ابخل
125,محل,مَحَلَ,محل,محل,1,1,1,1,0,محل,يمحل,امحل,مَحَلَ,يمحل,امحل
126,عكس,عَكَسَ,عكس,عكس,1,0,0,0,0,عكس,يعكس,اعكس,عَكَسَ,يعكس,اعكس
127,ردف,رَدِفَ,ردف,ردف,1,0,0,0,0,ردف,يردف,اردف,رَدِفَ,يردف,اردف
128,قصف,قَصَفَ,قصف,قصف,1,1,1,1,0,قصف,يقصف,اقصف,قَصَفَ,يقصف,اقصف
129,خطر,خَطَرَ,خطر,خطر,1,1,1,1,0,خطر,يخطر,اخطر,خَطَرَ,يخطر,اخطر
130,جنح,جَنَحَ,جنح,جنح,1,0,0,0,0,جنح,يجنح,اجنح,جَنَحَ,يجنح,اجنح
131,تبع,تَبِعَ,تبع,تبع,1,0,0,0,0,تبع,يتبع,اتبع,تَبِعَ,يتبع,اتبع
132,شنج,شَنِجَ,شنج,شنج,1,1,1,1,0,شنج,يشنج,اشنج,شَنِجَ,يشنج,اشنج
133,حسف,حَسِفَ,حسف,حسف,1,1,1,1,0,حسف,يحسف,احسف,حَسِفَ,يحسف,احسف
134,عتب,عَتَبَ,عتب,عتب,1,1,1,1,0,عتب,يعتب,اعتب,عَتَبَ,يعتب,اعتب
135,بحث,بَحَثَ,بحث,بحث,1,0,0,0,0,بحث,يبحث,ابحث,بَحَثَ,يبحث,ابحث
136,عشق,عَشِقَ,عشق,عشق,1,0,0,0,0,عشق,يعشق,اعشق,عَشِقَ,يعشق,اعشق
137,نعب,نَعَبَ,نعب,نعب,1,1,1,1,0,نعب,ينعب,انعب,نَعَبَ,ينعب,انعب
138,صرد,صَرِدَ,صرد,صرد,1,1,1,1,0,صرد,يصرد,اصرد,صَرِدَ,يصرد,اصرد
139,خزق,خَزَقَ,خزق,خزق,1,0,0,0,0,خزق,يخزق,اخزق,خَزَقَ,يخزق,اخزق
140,زلع,زَلَعَ,زلع,زلع,1,1,1,1,0,زلع,يزلع,ازلع,زَلَعَ,يزلع,ازلع
141,شنع,شَنَعَ,شنع,شنع,1,0,0,0,0,شنع,يشنع,اشنع,شَنَعَ,يشنع,اشنع
142,شنع,شَنِعَ,شنع,شنع,1,1,1,1,0,شنع,يشنع,اشنع,شَنِعَ,يشنع,اشنع
143,ربع,رَبَعَ,ربع,ربع,1,1,1,1,0,ربع,يربع,اربع,رَبَعَ,يربع,اربع
144,نصع,نَصَعَ,نصع,نصع,1,1,1,1,0,نصع,ينصع,انصع,نَصَعَ,ينصع,انصع
145,عتق,عَتَقَ,عتق,عتق,1,0,0,0,0,عتق,يعتق,اعتق,عَتَقَ,يعتق,اعتق
146,صرف,صَرَفَ,صرف,صرف,1,0,0,0,0,صرف,يصرف,اصرف,صَرَفَ,يصرف,اصرف
147,هزج,هَزِجَ,هزج,هزج,1,1,1,1,0,هزج,يهزج,اهزج,هَزِجَ,يهزج,اهزج
148,نتن,نَتَنَ,نتن,نتن,1,1,1,1,0,نتن,ينتن,انتن,نَتَنَ,ينتن,انتن
149,صعق,صَعَقَ,صعق,صعق,1,0,0,0,0,صعق,يصعق,اصعق,صَعَقَ,يصعق,اصعق
150,صعق,صَعِقَ,صعق,صعق,1,1,1,1,0,صعق,يصعق,اصعق,صَعِقَ,يصعق,اصعق
151,حدر,حَدِرَ,حدر,حدر,1,1,1,1,0,حدر,يحدر,احدر,حَدِرَ,يحدر,احدر
152,صدف,صَدَفَ,صدف,صدف,1,0,0,0,0,صدف,يصدف,اصدف,صَدَفَ,يصدف,اصدف
153,شهق,شَهَقَ,شهق,شهق,1,1,1,1,0,شهق,يشهق,اشهق,شَهَقَ,يشهق,اشهق
154,معن,مَعَنَ,معن,معن,1,0,0,0,0,معن,يمعن,امعن,مَعَنَ,يمعن,امعن
155,شهب,شَهِبَ,شهب,شهب,1,1,1,1,0,شهب,يشهب,اشهب,شَهِبَ,يشهب,اشهب
156,فخر,فَخِرَ,فخر,فخر,1,1,1,1,0,فخر,يفخر,افخر,فَخِرَ,يفخر,افخر
157,زمر,زَمَرَ,زمر,زمر,1,1,1,1,0,زمر,يزمر,ازمر,زَمَرَ,يزمر,ازمر
158,شكر,شَكِرَ,شكر,شكر,1,1,1,1,0,شكر,يشكر,اشكر,شَكِرَ,يشكر,اشكر
159,شكس,شَكِسَ,شكس,شكس,1,1,1,1,0,شكس,يشكس,اشكس,شَكِسَ,يشكس,اشكس
160,شكل,شَكِلَ,شكل,شكل,1,1,1,1,0,شكل,يشكل,اشكل,شَكِلَ,يشكل,اشكل
161,حمل,حَمَلَ,حمل,حمل,1,1,1,1,0,حمل,يحمل,احمل,حَمَلَ,يحمل,احمل
162,شمت,شَمِتَ,شمت,شمت,1,1,1,1,0,شمت,يشمت,اشمت,شَمِتَ,يشمت,اشمت
163,كبت,كَبَتَ,كبت,كبت,1,0,0,0,0,كبت,يكبت,اكبت,كَبَتَ,يكبت,اكبت
164,شمس,شَمِسَ,شمس,شمس,1,1,1,1,0,شمس,يشمس,اشمس,شَمِسَ,يشمس,اشمس
165,نزف,نَزَفَ,نزف,نزف,1,1,1,1,0,نزف,ينزف,انزف,نَزَفَ,ينزف,انزف
166,شرب,شَرِبَ,شرب,شرب,1,1,1,1,0,شرب,يشرب,اشرب,شَرِبَ,يشرب,اشرب
167,زعق,زَعَقَ,زعق,زعق,1,0,0,0,0,زعق,يزعق,ازعق,زَعَقَ,يزعق,ازعق
168,نشط,نَشَطَ,نشط,نشط,1,1,1,1,0,نشط,ينشط,انشط,نَشَطَ,ينشط,انشط
169,ذبح,ذَبَحَ,ذبح,ذبح,1,0,0,0,0,ذبح,يذبح,اذبح,ذَبَحَ,يذبح,اذبح
170,شعف,شَعِفَ,شعف,شعف,1,1,1,1,0,شعف,يشعف,اشعف,شَعِفَ,يشعف,اشعف
171,سوق,سَوِقَ,سوق,سوق,1,1,1,1,0,سوق,يسوق,اسوق,سَوِقَ,يسوق,اسوق
172,جشم,جَشِمَ,جشم,جشم,1,0,0,0,0,جشم,يجشم,اجشم,جَشِمَ,يجشم,اجشم
173,شبر,شَبِرَ,شبر,شبر,1,1,1,1,0,شبر,يشبر,اشبر,شَبِرَ,يشبر,اشبر
174,ظلف,ظَلِفَ,ظلف,ظلف,1,1,1,1,0,ظلف,يظلف,اظلف,ظَلِفَ,يظلف,اظلف
175,طفر,طَفَرَ,طفر,طفر,1,0,0,0,0,طفر,يطفر,اطفر,طَفَرَ,يطفر,اطفر
176,شبق,شَبِقَ,شبق,شبق,1,1,1,1,0,شبق,يشبق,اشبق,شَبِقَ,يشبق,اشبق
177,سيس,سَيِسَ,سيس,سيس,1,1,1,1,0,سيس,يسيس,اسيس,سَيِسَ,يسيس,اسيس
178,صرم,صَرَمَ,صرم,صرم,1,0,0,0,0,صرم,يصرم,اصرم,صَرَمَ,يصرم,اصرم
179,لزج,لَزِجَ,لزج,لزج,1,1,1,1,0,لزج,يلزج,الزج,لَزِجَ,يلزج,الزج
180,غلق,غَلَقَ,غلق,غلق,1,0,0,0,0,غلق,يغلق,اغلق,غَلَقَ,يغلق,اغلق
181,بشع,بَشِعَ,بشع,بشع,1,1,1,1,0,بشع,يبشع,ابشع,بَشِعَ,يبشع,ابشع
182,شوه,شَوِهَ,شوه,شوه,1,1,1,1,0,شوه,يشوه,اشوه,شَوِهَ,يشوه,اشوه
183,لمس,لَمَسَ,لمس,لمس,1,0,0,0,0,لمس,يلمس,المس,لَمَسَ,يلمس,المس
184,شبك,شَبَكَ,شبك,شبك,1,0,0,0,0,شبك,يشبك,اشبك,شَبَكَ,يشبك,اشبك
185,هجع,هَجَعَ,هجع,هجع,1,1,1,1,0,هجع,يهجع,اهجع,هَجَعَ,يهجع,اهجع
186,شبع,شَبِعَ,شبع,شبع,1,1,1,1,0,شبع,يشبع,اشبع,شَبِعَ,يشبع,اشبع
187,شخب,شَخَبَ,شخب,شخب,1,0,0,0,0,شخب,يشخب,اشخب,شَخَبَ,يشخب,اشخب
188,عدل,عَدَلَ,عدل,عدل,1,1,1,1,0,عدل,يعدل,اعدل,عَدَلَ,يعدل,اعدل
189,قضب,قَضَبَ,قضب,قضب,1,0,0,0,0,قضب,يقضب,اقضب,قَضَبَ,يقضب,اقضب
190,صدع,صَدَعَ,صدع,صدع,1,0,0,0,0,صدع,يصدع,اصدع,صَدَعَ,يصدع,اصدع
191,صخب,صَخِبَ,صخب,صخب,1,1,1,1,0,صخب,يصخب,اصخب,صَخِبَ,يصخب,اصخب
192,حدج,حَدَجَ,حدج,حدج,1,0,0,0,0,حدج,يحدج,احدج,حَدَجَ,يحدج,احدج
193,قرس,قَرَسَ,قرس,قرس,1,0,0,0,0,قرس,يقرس,اقرس,قَرَسَ,يقرس,اقرس
194,رثم,رَثِمَ,رثم,رثم,1,1,1,1,0,رثم,يرثم,ارثم,رَثِمَ,يرثم,ارثم
195,علق,عَلَقَ,علق,علق,1,1,1,1,0,علق,يعلق,اعلق,عَلَقَ,يعلق,اعلق
196,نذر,نَذِرَ,نذر,نذر,1,1,1,1,0,نذر,ينذر,انذر,نَذِرَ,ينذر,انذر
197,كتف,كَتَفَ,كتف,كتف,1,0,0,0,0,كتف,يكتف,اكتف,كَتَفَ,يكتف,اكتف
198,جهز,جَهَزَ,جهز,جهز,1,1,1,1,0,جهز,يجهز,اجهز,جَهَزَ,يجهز,اجهز
199,خفر,خَفِرَ,خفر,خفر,1,1,1,1,0,خفر,يخفر,اخفر,خَفِرَ,يخفر,اخفر
200,حبر,حَبِرَ,حبر,حبر,1,1,1,1,0,حبر,يحبر,احبر,حَبِرَ,يحبر,احبر
201,رضع,رَضِعَ,رضع,رضع,1,0,0,0,0,رضع,يرضع,ارضع,رَضِعَ,يرضع,ارضع
202,جهش,جَهَشَ,جهش,جهش,1,1,1,1,0,جهش,يجهش,اجهش,جَهَشَ,يجهش,اجهش
203,جهد,جَهَدَ,جهد,جهد,1,0,0,0,0,جهد,يجهد,اجهد,جَهَدَ,يجهد,اجهد
204,قضم,قَضِمَ,قضم,قضم,1,1,1,1,0,قضم,يقضم,اقضم,قَضِمَ,يقضم,اقضم
205,خصب,خَصَبَ,خصب,خصب,1,1,1,1,0,خصب,يخصب,اخصب,خَصَبَ,يخصب,اخصب
206,حنث,حَنِثَ,حنث,حنث,1,1,1,1,0,حنث,يحنث,احنث,حَنِثَ,يحنث,احنث
207,قلق,قَلَقَ,قلق,قلق,1,0,0,0,0,قلق,يقلق,اقلق,قَلَقَ,يقلق,اقلق
208,حور,حَوِرَ,حور,حور,1,1,1,1,0,حور,يحور,احور,حَوِرَ,يحور,احور
209,شنب,شَنِبَ,شنب,شنب,1,1,1,1,0,شنب,يشنب,اشنب,شَنِبَ,يشنب,اشنب
210,حمر,حَمِرَ,حمر,حمر,1,1,1,1,0,حمر,يحمر,احمر,حَمِرَ,يحمر,احمر
211,حمس,حَمِسَ,حمس,حمس,1,1,1,1,0,حمس,يحمس,احمس,حَمِسَ,يحمس,احمس
212,خبز,خَبَزَ,خبز,خبز,1,0,0,0,0,خبز,يخبز,اخبز,خَبَزَ,يخبز,اخبز
213,ظرب,ظَرِبَ,ظرب,ظرب,1,1,1,1,0,ظرب,يظرب,اظرب,ظَرِبَ,يظرب,اظرب
214,حبط,حَبَطَ,حبط,حبط,1,1,1,1,0,حبط,يحبط,احبط,حَبَطَ,يحبط,احبط
215,هزع,هَزَعَ,هزع,هزع,1,0,0,0,0,هزع,يهزع,اهزع,هَزَعَ,يهزع,اهزع
216,حنط,حَنَطَ,حنط,حنط,1,1,1,1,0,حنط,يحنط,احنط,حَنَطَ,يحنط,احنط
217,حنف,حَنِفَ,حنف,حنف,1,1,1,1,0,حنف,يحنف,احنف,حَنِفَ,يحنف,احنف
218,حبط,حَبِطَ,حبط,حبط,1,1,1,1,0,حبط,يحبط,احبط,حَبِطَ,يحبط,احبط
219,بذخ,بَذِخَ,بذخ,بذخ,1,1,1,1,0,بذخ,يبذخ,ابذخ,بَذِخَ,يبذخ,ابذخ
