ID,Unvocalized,Vocalized,Root,Normalized,Triliteral,Past,Future,Imperative,Passive,Madhi,Mudhari,Amar,Madhi_from_Vocalized,Mudhari_from_Vocalized,Amar_from_Vocalized
2147,فرط,فَرَطَ,فرط,فرط,1,1,1,1,0,فرط,يفرط,افرط,فَرَطَ,يفرط,افرط
2148,لبق,لَبَقَ,لبق,لبق,1,0,0,0,0,لبق,يلبق,البق,لَبَقَ,يلبق,البق
2149,ندل,نَدَلَ,ندل,ندل,1,1,1,1,0,ندل,يندل,اندل,نَدَلَ,يندل,اندل
2150,رشن,رَشَنَ,رشن,رشن,1,1,1,1,0,رشن,يرشن,ارشن,رَشَنَ,يرشن,ارشن
2151,خزن,خَزَنَ,خزن,خزن,1,1,1,1,0,خزن,يخزن,اخزن,خَزَنَ,يخزن,اخزن
2152,نفذ,نَفَذَ,نفذ,نفذ,1,0,0,0,0,نفذ,ينفذ,انفذ,نَفَذَ,ينفذ,انفذ
2153,ذبل,ذَبُلَ,ذبل,ذبل,1,1,1,0,0,ذبل,يذبل,اذبل,ذَبُلَ,يذبل,اذبل
2154,ربص,رَبَصَ,ربص,ربص,1,0,0,0,0,ربص,يربص,اربص,رَبَصَ,يربص,اربص
2155,شغر,شَغَرَ,شغر,شغر,1,1,1,1,0,شغر,يشغر,اشغر,شَغَرَ,يشغر,اشغر
2156,نسق,نَسَقَ,نسق,نسق,1,0,0,0,0,نسق,ينسق,انسق,نَسَقَ,ينسق,انسق
2157,شكر,شَكَرَ,شكر,شكر,1,0,0,0,0,شكر,يشكر,اشكر,شَكَرَ,يشكر,اشكر
2158,برع,بَرُعَ,برع,برع,1,1,1,0,0,برع,يبرع,ابرع,بَرُعَ,يبرع,ابرع
2159,رزم,رَزَمَ,رزم,رزم,1,0,0,0,0,رزم,يرزم,ارزم,رَزَمَ,يرزم,ارزم
2160,سفن,سَفَنَ,سفن,سفن,1,1,1,1,0,سفن,يسفن,اسفن,سَفَنَ,يسفن,اسفن
